// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,Pressure,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
18295,,,,,,,,,,,,,,9.739262,1.248147,0.497364,-0.000000,0.000000,0.018817,-0.868164,-0.034424,-0.471436,0.097393,0.012480,0.004971,,0.024404,-0.134441,0.990621,0.199739,0.971592,0.126938,-0.979545,0.194768,0.050564,,,0.000000,,,,0.00,,,
18296,,,,,,,,,,,,,,9.678385,1.218466,0.525923,-0.024718,-0.010173,-0.043773,-0.870605,-0.032227,-0.471436,0.096784,0.012183,0.005254,99898.0000,0.024996,-0.134105,0.990652,0.204009,0.970792,0.126269,-0.978650,0.198945,0.051625,,,0.000000,,,,0.00,,,
18297,,,,,,,,,,,,,,9.712312,1.232985,0.573924,-0.066990,0.008565,-0.005848,-0.868164,-0.034424,-0.471436,0.097123,0.012330,0.005735,,0.025067,-0.134129,0.990647,0.204043,0.970784,0.126276,-0.978641,0.198969,0.051703,,,0.000000,,,,0.00,,,
18298,,,,,,,,,,,,,,9.716088,1.256939,0.501226,0.009730,0.016248,-0.002839,-0.870605,-0.030029,-0.471436,0.097161,0.012568,0.005010,99901.0000,0.025111,-0.134199,0.990636,0.204068,0.970771,0.126335,-0.978635,0.198985,0.051763,,,0.000000,,,,0.00,,,
18299,,,,,,,,,,,,,,9.685580,1.237275,0.542534,-0.034940,0.009148,-0.033406,-0.874756,-0.032227,-0.475830,0.096856,0.012372,0.005422,,0.025167,-0.134224,0.990631,0.204106,0.970761,0.126347,-0.978625,0.199013,0.051827,,,0.000000,,,,0.00,,,
18300,,,,,,,,,,,,,,9.655103,1.217459,0.583568,-0.079597,0.002351,-0.063973,-0.870605,-0.032227,-0.471436,0.096551,0.012175,0.005836,99904.0000,0.025167,-0.134194,0.990635,0.204121,0.970762,0.126317,-0.978622,0.199030,0.051823,,,0.000000,,,,0.00,,,
18301,,,,,,,,,,,,,,9.731582,1.230855,0.486329,0.020277,-0.014334,0.008443,-0.868408,-0.030029,-0.473633,0.097316,0.012308,0.004863,,0.025174,-0.134210,0.990633,0.204151,0.970754,0.126329,-0.978616,0.199058,0.051837,,,0.000000,,,,0.00,,,
18302,,,,,,,,,,,,,,9.731470,1.221174,0.540041,-0.034247,-0.012874,0.009893,-0.866211,-0.030029,-0.471436,0.097315,0.012211,0.005401,99901.0000,0.025154,-0.134190,0.990636,0.204214,0.970743,0.126310,-0.978603,0.199125,0.051822,,,0.000000,,,,0.00,,,
18303,,,,,,,,,,,,,,9.704851,1.225178,0.507364,-0.002185,-0.012008,-0.017665,-0.870605,-0.030029,-0.473633,0.097049,0.012251,0.005073,,0.025156,-0.134205,0.990634,0.204213,0.970741,0.126325,-0.978603,0.199123,0.051826,,,0.000000,,,,0.00,,,
18304,,,,,,,,,,,,,,9.701086,1.211214,0.527342,-0.024303,-0.020749,-0.022122,-0.866211,-0.032227,-0.475830,0.097011,0.012112,0.005270,99899.0000,0.025216,-0.134170,0.990637,0.204289,0.970732,0.126274,-0.978586,0.199192,0.051888,,,0.000000,,,,0.00,,,
18305,,,,,,,,,,,,,,9.731523,1.231018,0.487102,0.020369,-0.013649,0.008444,-0.868164,-0.034424,-0.471436,0.097315,0.012311,0.004869,,0.025249,-0.134167,0.990637,0.204299,0.970731,0.126264,-0.978583,0.199198,0.051920,,,0.000000,,,,0.00,,,
18306,,,,,,,,,,,,,,9.727747,1.217133,0.507079,-0.001764,-0.023210,0.003985,-0.868408,-0.030029,-0.475830,0.097278,0.012170,0.005069,99897.0000,0.025281,-0.134248,0.990625,0.204306,0.970721,0.126336,-0.978581,0.199196,0.051968,,,0.000000,,,,0.00,,,
18307,,,,,,,,,,,,,,9.704604,1.215837,0.562675,-0.056645,-0.010705,-0.016214,-0.872559,-0.034424,-0.471436,0.097046,0.012157,0.005624,,0.025324,-0.134290,0.990618,0.204344,0.970708,0.126367,-0.978571,0.199227,0.052024,,,0.000000,,,,0.00,,,
18308,,,,,,,,,,,,,,9.700914,1.211855,0.529030,-0.024167,-0.021101,-0.022122,-0.868164,-0.034424,-0.475830,0.097009,0.012117,0.005289,99900.0000,0.025357,-0.134317,0.990614,0.204370,0.970701,0.126385,-0.978565,0.199247,0.052065,,,0.000000,,,,0.00,,,
18309,,,,,,,,,,,,,,9.662318,1.246570,0.546564,-0.035022,0.021064,-0.055055,-0.866211,-0.030029,-0.473633,0.096623,0.012465,0.005465,,0.025364,-0.134332,0.990612,0.204400,0.970693,0.126397,-0.978559,0.199275,0.052079,,,0.000000,,,,0.00,,,
18310,,,,,,,,,,,,,,9.677891,1.220354,0.530624,-0.024348,-0.009934,-0.043772,-0.866211,-0.032227,-0.475830,0.096779,0.012202,0.005308,99898.0000,0.025342,-0.134364,0.990608,0.204431,0.970682,0.126432,-0.978553,0.199307,0.052067,,,0.000000,,,,0.00,,,
18311,,,,,,,,,,,,,,9.704483,1.216778,0.562740,-0.056409,-0.010800,-0.016213,-0.877197,-0.028076,-0.476074,0.097045,0.012166,0.005631,,0.025254,-0.134391,0.990607,0.204445,0.970673,0.126474,-0.978552,0.199331,0.051989,,,0.000000,,,,0.00,,,
18312,,,,,,,,,,,,,,9.715623,1.249245,0.556730,-0.044207,0.018412,-0.001388,-0.870605,-0.028076,-0.467041,0.097156,0.012493,0.005572,99903.0000,0.025186,-0.134330,0.990617,0.204497,0.970669,0.126426,-0.978543,0.199394,0.051917,,,0.000000,,,,0.00,,,
18313,,,,,,,,,,,,,,9.704625,1.226962,0.507387,-0.001615,-0.011609,-0.017664,-0.870605,-0.032227,-0.469238,0.097046,0.012267,0.005078,,0.025088,-0.134358,0.990615,0.204545,0.970653,0.126470,-0.978536,0.199452,0.051834,,,0.000000,,,,0.00,,,
18314,,,,,,,,,,,,,,9.712000,1.245541,0.521102,-0.011801,0.008631,-0.007298,-0.870605,-0.030273,-0.467041,0.097120,0.012454,0.005214,99898.0000,0.025015,-0.134304,0.990624,0.204600,0.970646,0.126429,-0.978526,0.199520,0.051759,,,0.000000,,,,0.00,,,
18315,,,,,,,,,,,,,,9.727587,1.219409,0.504677,-0.001270,-0.022253,0.003987,-0.870605,-0.030029,-0.471436,0.097276,0.012193,0.005049,,0.024959,-0.134327,0.990623,0.204625,0.970637,0.126461,-0.978522,0.199550,0.051713,,,0.000000,,,,0.00,,,
18316,,,,,,,,,,,,,,9.731322,1.233549,0.484704,0.021179,-0.012498,0.008444,-0.868408,-0.032227,-0.471436,0.097313,0.012336,0.004848,99903.0000,0.024957,-0.134259,0.990632,0.204690,0.970632,0.126391,-0.978509,0.199618,0.051706,,,0.000000,,,,0.00,,,
18317,,,,,,,,,,,,,,9.692689,1.258340,0.555385,-0.044234,0.030890,-0.023041,-0.870605,-0.030029,-0.475830,0.096927,0.012583,0.005556,,0.024900,-0.134266,0.990632,0.204716,0.970625,0.126409,-0.978505,0.199650,0.051655,,,0.000000,,,,0.00,,,
18318,,,,,,,,,,,,,,9.727606,1.219737,0.503503,-0.000256,-0.021563,0.003989,-0.868408,-0.028076,-0.476074,0.097276,0.012197,0.005037,99898.0000,0.024920,-0.134261,0.990633,0.204773,0.970614,0.126397,-0.978492,0.199705,0.051681,,,0.000000,,,,0.00,,,
18319,,,,,,,,,,,,,,9.685328,1.240288,0.540140,-0.033287,0.011407,-0.033402,-0.868408,-0.032227,-0.475830,0.096853,0.012403,0.005403,,0.024894,-0.134250,0.990635,0.204810,0.970607,0.126389,-0.978485,0.199745,0.051658,,,0.000000,,,,0.00,,,
18320,,,,,,,,,,,,,,9.700942,1.213853,0.523913,-0.021818,-0.019289,-0.022113,-0.865967,-0.034424,-0.478027,0.097009,0.012139,0.005241,99895.0000,0.024942,-0.134221,0.990637,0.204840,0.970606,0.126350,-0.978478,0.199770,0.051702,,,0.000000,,,,0.00,,,
18321,,,,,,,,,,,,,,9.658687,1.234505,0.559992,-0.054851,0.013680,-0.059502,-0.868408,-0.028076,-0.473877,0.096587,0.012344,0.005607,,0.024800,-0.134223,0.990641,0.204832,0.970604,0.126380,-0.978483,0.199781,0.051564,,,0.000000,,,,0.00,,,
18322,,,,,,,,,,,,,,9.704761,1.227999,0.502251,0.001171,-0.010157,-0.017663,-0.865967,-0.034424,-0.475830,0.097047,0.012282,0.005027,99898.0000,0.024799,-0.134177,0.990647,0.204840,0.970608,0.126335,-0.978481,0.199792,0.051555,,,0.000000,,,,0.00,,,
18323,,,,,,,,,,,,,,9.727789,1.219762,0.499890,0.001504,-0.021435,0.003989,-0.870605,-0.032227,-0.469238,0.097278,0.012197,0.005003,,0.024705,-0.134172,0.990650,0.204841,0.970606,0.126349,-0.978483,0.199804,0.051463,,,0.000000,,,,0.00,,,
18324,,,,,,,,,,,,,,9.754518,1.225664,0.478027,0.024109,-0.023761,0.030089,-0.866455,-0.028076,-0.476074,0.097545,0.012257,0.004783,99898.0000,0.024655,-0.134173,0.990651,0.204837,0.970605,0.126360,-0.978485,0.199807,0.051414,,,0.000000,,,,0.00,,,
18325,,,,,,,,,,,,,,9.708613,1.241914,0.480341,0.023454,-0.001211,-0.013214,-0.868652,-0.025879,-0.469482,0.097086,0.012419,0.004806,,0.024594,-0.134166,0.990654,0.204848,0.970602,0.126365,-0.978485,0.199826,0.051354,,,0.000000,,,,0.00,,,
18326,,,,,,,,,,,,,,9.697478,1.199857,0.538727,-0.042735,-0.027885,-0.026557,-0.870605,-0.028076,-0.469238,0.096975,0.011999,0.005390,99900.0000,0.024577,-0.134066,0.990668,0.204899,0.970604,0.126268,-0.978475,0.199883,0.051324,,,0.000000,,,,0.00,,,
18327,,,,,,,,,,,,,,9.697516,1.199830,0.538097,-0.042731,-0.027885,-0.026557,-0.868408,-0.032227,-0.471436,0.096975,0.011999,0.005385,,0.024496,-0.134045,0.990672,0.204898,0.970605,0.126263,-0.978477,0.199894,0.051242,,,0.000000,,,,0.00,,,
18328,,,,,,,,,,,,,,9.701284,1.213831,0.517584,-0.020634,-0.018215,-0.022109,-0.870605,-0.030029,-0.475830,0.097013,0.012138,0.005181,99892.0000,0.024391,-0.133977,0.990684,0.204910,0.970609,0.126217,-0.978477,0.199923,0.051127,,,0.000000,,,,0.00,,,
18329,,,,,,,,,,,,,,9.708729,1.232126,0.530936,-0.030835,0.001395,-0.011744,-0.870605,-0.028076,-0.473877,0.097087,0.012321,0.005315,,0.024266,-0.133961,0.990689,0.204917,0.970606,0.126226,-0.978479,0.199946,0.051003,,,0.000000,,,,0.00,,,
18330,,,,,,,,,,,,,,9.731742,1.224124,0.528335,-0.029660,-0.009350,0.009912,-0.866455,-0.028076,-0.473633,0.097317,0.012240,0.005289,99896.0000,0.024239,-0.133906,0.990698,0.204950,0.970606,0.126175,-0.978472,0.199985,0.050971,,,0.000000,,,,0.00,,,
18331,,,,,,,,,,,,,,9.708818,1.242279,0.475222,0.024571,0.000692,-0.013216,-0.868408,-0.032227,-0.475830,0.097088,0.012422,0.004756,,0.024162,-0.133914,0.990698,0.204947,0.970603,0.126200,-0.978475,0.199992,0.050897,,,0.000000,,,,0.00,,,
18332,,,,,,,,,,,,,,9.682168,1.226595,0.549094,-0.051743,0.004206,-0.037836,-0.868408,-0.030029,-0.471436,0.096821,0.012267,0.005497,99900.0000,0.024125,-0.133846,0.990708,0.204967,0.970607,0.126139,-0.978472,0.200019,0.050850,,,0.000000,,,,0.00,,,
18333,,,,,,,,,,,,,,9.712648,1.246365,0.506855,-0.007047,0.011314,-0.007296,-0.868408,-0.030029,-0.473633,0.097126,0.012464,0.005078,,0.023946,-0.133805,0.990718,0.204952,0.970610,0.126136,-0.978479,0.200029,0.050666,,,0.000000,,,,0.00,,,
18334,,,,,,,,,,,,,,9.705344,1.228051,0.490712,0.003566,-0.008016,-0.017661,-0.868408,-0.030029,-0.473633,0.097053,0.012281,0.004915,99900.0000,0.023826,-0.133734,0.990731,0.204962,0.970614,0.126090,-0.978480,0.200058,0.050536,,,0.000000,,,,0.00,,,
18335,,,,,,,,,,,,,,9.732112,1.224058,0.521623,-0.028472,-0.008865,0.009916,-0.868164,-0.038574,-0.473389,0.097321,0.012241,0.005225,,0.023653,-0.133693,0.990740,0.204978,0.970612,0.126083,-0.978481,0.200098,0.050362,,,0.000000,,,,0.00,,,
18336,,,,,,,,,,,,,,9.755152,1.225655,0.464934,0.026899,-0.021873,0.030086,-0.868408,-0.030029,-0.469238,0.097551,0.012257,0.004656,99900.0000,0.023586,-0.133711,0.990740,0.204908,0.970622,0.126117,-0.978497,0.200036,0.050291,,,0.000000,,,,0.00,,,
18337,,,,,,,,,,,,,,9.705602,1.227798,0.486228,0.004060,-0.008523,-0.017662,-0.868164,-0.034424,-0.469238,0.097056,0.012279,0.004869,,0.023452,-0.133665,0.990749,0.204886,0.970629,0.126100,-0.978505,0.200033,0.050150,,,0.000000,,,,0.00,,,
18338,,,,,,,,,,,,,,9.709395,1.232036,0.518826,-0.028550,0.001947,-0.011737,-0.868408,-0.030029,-0.471436,0.097094,0.012319,0.005196,99898.0000,0.023272,-0.133647,0.990756,0.204866,0.970630,0.126120,-0.978513,0.200037,0.049968,,,0.000000,,,,0.00,,,
18339,,,,,,,,,,,,,,9.652448,1.216034,0.525427,-0.041191,-0.004314,-0.069851,-0.870605,-0.030029,-0.473633,0.096524,0.012161,0.005263,,0.023100,-0.133592,0.990767,0.204898,0.970627,0.126099,-0.978511,0.200094,0.049795,,,0.000000,,,,0.00,,,
18340,,,,,,,,,,,,,,9.656296,1.220234,0.557452,-0.072977,0.006429,-0.063923,-0.868408,-0.030029,-0.473633,0.096562,0.012202,0.005586,99897.0000,0.022912,-0.133527,0.990780,0.204941,0.970621,0.126071,-0.978506,0.200163,0.049604,,,0.000000,,,,0.00,,,
18341,,,,,,,,,,,,,,9.702292,1.213890,0.498186,-0.017742,-0.017350,-0.022101,-0.872559,-0.032227,-0.478027,0.097022,0.012138,0.004995,,0.022633,-0.133484,0.990792,0.204975,0.970612,0.126083,-0.978505,0.200235,0.049329,,,0.000000,,,,0.00,,,
18342,,,,,,,,,,,,,,9.729043,1.219949,0.474388,0.006039,-0.019418,0.003992,-0.870605,-0.030273,-0.467041,0.097290,0.012198,0.004757,99902.0000,0.022490,-0.133455,0.990800,0.205049,0.970597,0.126079,-0.978493,0.200327,0.049193,,,0.000000,,,,0.00,,,
18343,,,,,,,,,,,,,,9.686980,1.240666,0.508748,-0.027003,0.013537,-0.033386,-0.870605,-0.032227,-0.473633,0.096869,0.012406,0.005102,,0.022184,-0.133416,0.990812,0.205104,0.970583,0.126100,-0.978489,0.200422,0.048896,,,0.000000,,,,0.00,,,
18344,,,,,,,,,,,,,,9.713846,1.236915,0.538418,-0.058768,0.012847,-0.005800,-0.868164,-0.034424,-0.473633,0.097138,0.012368,0.005398,99904.0000,0.021920,-0.133358,0.990826,0.205156,0.970573,0.126093,-0.978484,0.200510,0.048635,,,0.000000,,,,0.00,,,
18345,,,,,,,,,,,,,,9.687265,1.240784,0.502996,-0.026718,0.013690,-0.033385,-0.870605,-0.028076,-0.464844,0.096872,0.012409,0.005045,,0.021613,-0.133273,0.990844,0.205229,0.970561,0.126068,-0.978475,0.200625,0.048328,,,0.000000,,,,0.00,,,
18346,,,,,,,,,,,,,,9.710400,1.232650,0.498143,-0.026116,0.002499,-0.011731,-0.868164,-0.034424,-0.464600,0.097103,0.012325,0.004999,99901.0000,0.021260,-0.133219,0.990859,0.205311,0.970541,0.126082,-0.978466,0.200754,0.047985,,,0.000000,,,,0.00,,,
18347,,,,,,,,,,,,,,9.676514,1.208746,0.501172,-0.038427,-0.015039,-0.048187,-0.870605,-0.028076,-0.469238,0.096764,0.012086,0.005031,,0.020855,-0.133160,0.990875,0.205352,0.970530,0.126104,-0.978466,0.200848,0.047586,,,0.000000,,,,0.00,,,
18348,,,,,,,,,,,,,,9.756471,1.226584,0.433774,0.029134,-0.021153,0.030081,-0.870605,-0.032227,-0.467041,0.097564,0.012265,0.004356,99892.0000,0.020483,-0.133084,0.990893,0.205399,0.970520,0.126102,-0.978464,0.200945,0.047215,,,0.000000,,,,0.00,,,
18349,,,,,,,,,,,,,,9.733836,1.225184,0.485586,-0.025759,-0.008662,0.009923,-0.870605,-0.028076,-0.469238,0.097338,0.012250,0.004872,,0.020141,-0.133063,0.990903,0.205411,0.970511,0.126150,-0.978469,0.201002,0.046879,,,0.000000,,,,0.00,,,
18350,,,,,,,,,,,,,,9.737596,1.239380,0.462617,-0.003197,0.000832,0.014359,-0.870361,-0.034424,-0.469238,0.097375,0.012395,0.004643,99904.0000,0.019837,-0.132951,0.990924,0.205484,0.970503,0.126097,-0.978459,0.201118,0.046571,,,0.000000,,,,0.00,,,
18351,,,,,,,,,,,,,,9.658015,1.221748,0.523317,-0.070754,0.007064,-0.063907,-0.870605,-0.032227,-0.464844,0.096580,0.012216,0.005247,,0.019550,-0.132925,0.990933,0.205551,0.970485,0.126127,-0.978451,0.201222,0.046296,,,0.000000,,,,0.00,,,
18352,,,,,,,,,,,,,,9.665637,1.240359,0.534045,-0.080765,0.026371,-0.053538,-0.870605,-0.032227,-0.467041,0.096655,0.012401,0.005364,99892.0000,0.019074,-0.132908,0.990945,0.205644,0.970455,0.126202,-0.978441,0.201375,0.045842,,,0.000000,,,,0.00,,,
18353,,,,,,,,,,,,,,9.723092,1.203532,0.422541,0.017393,-0.038711,-0.006376,-0.873047,-0.025879,-0.465088,0.097230,0.012036,0.004247,,0.018618,-0.132811,0.990966,0.205775,0.970429,0.126192,-0.978422,0.201567,0.045397,,,0.000000,,,,0.00,,,
18354,,,,,,,,,,,,,,9.757320,1.227518,0.411448,0.030071,-0.020645,0.030079,-0.868408,-0.030029,-0.464844,0.097572,0.012276,0.004135,99902.0000,0.018241,-0.132651,0.990995,0.205845,0.970425,0.126109,-0.978415,0.201691,0.045007,,,0.000000,,,,0.00,,,
18355,,,,,,,,,,,,,,9.711918,1.233761,0.464682,-0.025174,0.003115,-0.011728,-0.872803,-0.030273,-0.464844,0.097118,0.012338,0.004664,,0.017897,-0.132569,0.991012,0.205892,0.970417,0.126096,-0.978411,0.201785,0.044662,,,0.000000,,,,0.00,,,
18356,,,,,,,,,,,,,,9.682023,1.213627,0.501909,-0.069660,-0.003731,-0.042247,-0.868164,-0.034424,-0.467041,0.096819,0.012137,0.005039,99901.0000,0.017508,-0.132436,0.991037,0.205943,0.970413,0.126042,-0.978407,0.201890,0.044264,,,0.000000,,,,0.00,,,
18357,,,,,,,,,,,,,,9.738846,1.239314,0.435694,-0.002443,0.001297,0.014359,-0.866211,-0.032227,-0.464844,0.097388,0.012394,0.004376,,0.017114,-0.132345,0.991056,0.205983,0.970406,0.126030,-0.978406,0.201984,0.043868,,,0.000000,,,,0.00,,,
18358,,,,,,,,,,,,,,9.758038,1.226793,0.396304,0.030904,-0.020970,0.030076,-0.870605,-0.032227,-0.464844,0.097580,0.012269,0.003980,99899.0000,0.016836,-0.132305,0.991066,0.205976,0.970405,0.126048,-0.978412,0.202013,0.043589,,,0.000000,,,,0.00,,,
18359,,,,,,,,,,,,,,9.758214,1.226403,0.393180,0.030903,-0.020985,0.030076,-0.870605,-0.030273,-0.464844,0.097581,0.012267,0.003946,,0.016571,-0.132198,0.991085,0.205962,0.970415,0.125997,-0.978420,0.202038,0.043309,,,0.000000,,,,0.00,,,
18360,,,,,,,,,,,,,,9.781316,1.217902,0.389011,0.031646,-0.032254,0.051729,-0.872559,-0.032227,-0.471436,0.097813,0.012180,0.003901,99893.0000,0.016392,-0.132131,0.991097,0.205977,0.970415,0.125967,-0.978420,0.202078,0.043123,,,0.000000,,,,0.00,,,
18361,,,,,,,,,,,,,,9.807888,1.223681,0.366132,0.054171,-0.034350,0.077814,-0.872803,-0.030273,-0.462646,0.098079,0.012237,0.003666,,0.016315,-0.132110,0.991101,0.205910,0.970430,0.125965,-0.978435,0.202023,0.043036,,,0.000000,,,,0.00,,,
18362,,,,,,,,,,,,,,9.731973,1.219859,0.410168,0.009520,-0.018922,0.003990,-0.872559,-0.034424,-0.462646,0.097320,0.012200,0.004101,99899.0000,0.016429,-0.132089,0.991102,0.205847,0.970448,0.125924,-0.978446,0.201947,0.043133,,,0.000000,,,,0.00,,,
18363,,,,,,,,,,,,,,9.656490,1.206178,0.508193,-0.090434,-0.002293,-0.068317,-0.870605,-0.032227,-0.464844,0.096565,0.012062,0.005083,,0.016407,-0.132078,0.991104,0.205819,0.970455,0.125919,-0.978453,0.201922,0.043106,,,0.000000,,,,0.00,,,
18364,,,,,,,,,,,,,,9.739546,1.237829,0.424122,-0.000675,0.000353,0.014359,-0.870605,-0.030029,-0.475830,0.097395,0.012379,0.004244,99899.0000,0.016362,-0.132084,0.991103,0.205770,0.970463,0.125937,-0.978464,0.201879,0.043057,,,0.000000,,,,0.00,,,
18365,,,,,,,,,,,,,,9.690585,1.230084,0.500274,-0.078107,0.014895,-0.031864,-0.876953,-0.032227,-0.471436,0.096906,0.012301,0.005006,,0.016308,-0.132062,0.991107,0.205747,0.970469,0.125927,-0.978469,0.201864,0.042998,,,0.000000,,,,0.00,,,
18366,,,,,,,,,,,,,,9.766131,1.243390,0.401628,0.024118,-0.001987,0.040437,-0.872803,-0.030273,-0.462646,0.097661,0.012435,0.004019,99899.0000,0.016498,-0.132043,0.991107,0.205686,0.970489,0.125873,-0.978479,0.201780,0.043170,,,0.000000,,,,0.00,,,
18367,,,,,,,,,,,,,,9.762646,1.229052,0.420943,0.001962,-0.011216,0.036013,-0.872803,-0.032227,-0.462646,0.097626,0.012292,0.004210,,0.016504,-0.132014,0.991110,0.205638,0.970503,0.125845,-0.978489,0.201733,0.043164,,,0.000000,,,,0.00,,,
18368,,,,,,,,,,,,,,9.709704,1.216902,0.463694,-0.043380,-0.006865,-0.016143,-0.872803,-0.030273,-0.464844,0.097097,0.012171,0.004636,99893.0000,0.016519,-0.131957,0.991118,0.205542,0.970530,0.125790,-0.978509,0.201639,0.043155,,,0.000000,,,,0.00,,,
18369,,,,,,,,,,,,,,9.644900,1.244989,0.502715,-0.076800,0.037329,-0.075156,-0.870850,-0.025879,-0.469482,0.096448,0.012453,0.005029,,0.016511,-0.131882,0.991128,0.205450,0.970559,0.125723,-0.978528,0.201551,0.043120,,,0.000000,,,,0.00,,,
18370,,,,,,,,,,,,,,9.709890,1.215737,0.462840,-0.042268,-0.006292,-0.016138,-0.870605,-0.032227,-0.467041,0.097098,0.012160,0.004634,99894.0000,0.016512,-0.131740,0.991147,0.205460,0.970575,0.125582,-0.978526,0.201568,0.043094,,,0.000000,,,,0.00,,,
18371,,,,,,,,,,,,,,9.755445,1.208835,0.404688,0.013024,-0.030080,0.025641,-0.866211,-0.030029,-0.467041,0.097554,0.012090,0.004052,,0.016435,-0.131689,0.991155,0.205396,0.970592,0.125551,-0.978541,0.201516,0.043000,,,0.000000,,,,0.00,,,
18372,,,,,,,,,,,,,,9.770898,1.182354,0.388151,0.024695,-0.061170,0.036918,-0.870605,-0.028076,-0.464844,0.097709,0.011823,0.003882,99903.0000,0.016559,-0.131723,0.991148,0.205314,0.970608,0.125564,-0.978556,0.201417,0.043117,,,0.000000,,,,0.00,,,
18373,,,,,,,,,,,,,,9.758985,1.222895,0.384864,0.036361,-0.021129,0.030057,-0.872803,-0.030273,-0.464844,0.097590,0.012228,0.003845,,0.016632,-0.131748,0.991144,0.205251,0.970620,0.125576,-0.978568,0.201345,0.043185,,,0.000000,,,,0.00,,,
18374,,,,,,,,,,,,,,9.762930,1.227232,0.419667,0.004389,-0.010176,0.036013,-0.870605,-0.032227,-0.467041,0.097630,0.012272,0.004192,99894.0000,0.016770,-0.131727,0.991144,0.205185,0.970640,0.125530,-0.978580,0.201263,0.043306,,,0.000000,,,,0.00,,,
18375,,,,,,,,,,,,,,9.667973,1.235979,0.500878,-0.073743,0.026899,-0.053483,-0.874756,-0.032227,-0.462646,0.096680,0.012361,0.005002,,0.016928,-0.131740,0.991140,0.205077,0.970664,0.125516,-0.978599,0.201135,0.043448,,,0.000000,,,,0.00,,,
18376,,,,,,,,,,,,,,9.697954,1.255943,0.460853,-0.028906,0.033870,-0.022993,-0.870605,-0.030273,-0.464844,0.096980,0.012558,0.004605,99893.0000,0.017011,-0.131792,0.991131,0.204973,0.970681,0.125555,-0.978620,0.201019,0.043526,,,0.000000,,,,0.00,,,
18377,,,,,,,,,,,,,,9.716917,1.243408,0.425836,0.003865,0.012155,-0.007296,-0.872559,-0.034424,-0.464844,0.097169,0.012437,0.004255,,0.017118,-0.131750,0.991135,0.204876,0.970709,0.125497,-0.978638,0.200912,0.043609,,,0.000000,,,,0.00,,,
18378,,,,,,,,,,,,,,9.702319,1.196665,0.451611,-0.030157,-0.026075,-0.026505,-0.879395,-0.028076,-0.462646,0.097023,0.011968,0.004512,99894.0000,0.017242,-0.131759,0.991132,0.204750,0.970737,0.125486,-0.978662,0.200771,0.043715,,,0.000000,,,,0.00,,,
18379,,,,,,,,,,,,,,9.720934,1.246802,0.461310,-0.028334,0.022300,-0.001338,-0.866211,-0.032227,-0.462646,0.097209,0.012470,0.004611,,0.017306,-0.131723,0.991135,0.204676,0.970759,0.125441,-0.978677,0.200690,0.043760,,,0.000000,,,,0.00,,,
18380,,,,,,,,,,,,,,9.774343,1.195280,0.374459,0.047302,-0.051468,0.041338,-0.872559,-0.032227,-0.469238,0.097743,0.011954,0.003741,99892.0000,0.017350,-0.131664,0.991143,0.204657,0.970771,0.125376,-0.978680,0.200669,0.043789,,,0.000000,,,,0.00,,,
18381,,,,,,,,,,,,,,9.713426,1.227838,0.448567,-0.018505,0.003135,-0.011713,-0.872803,-0.028076,-0.469238,0.097134,0.012281,0.004479,,0.017499,-0.131649,0.991142,0.204615,0.970785,0.125333,-0.978686,0.200609,0.043925,,,0.000000,,,,0.00,,,
18382,,,,,,,,,,,,,,9.653286,1.187634,0.531848,-0.106702,-0.010962,-0.072679,-0.872803,-0.030273,-0.464844,0.096533,0.011878,0.005312,99898.0000,0.017772,-0.131616,0.991141,0.204568,0.970806,0.125248,-0.978691,0.200530,0.044177,,,0.000000,,,,0.00,,,
18383,,,,,,,,,,,,,,9.591998,1.229883,0.551395,-0.117948,0.042423,-0.127267,-0.868408,-0.028076,-0.471436,0.095919,0.012301,0.005518,,0.017702,-0.131550,0.991151,0.204551,0.970816,0.125198,-0.978696,0.200525,0.044094,,,0.000000,,,,0.00,,,
18384,,,,,,,,,,,,,,9.717524,1.230877,0.483034,-0.048340,0.014002,-0.005745,-0.870605,-0.032227,-0.471436,0.097175,0.012309,0.004837,99888.0000,0.017709,-0.131483,0.991160,0.204534,0.970829,0.125131,-0.978699,0.200510,0.044085,,,0.000000,,,,0.00,,,
18385,,,,,,,,,,,,,,9.702165,1.203855,0.399111,0.026649,-0.026459,-0.028049,-0.868408,-0.034424,-0.460205,0.097021,0.012041,0.004000,,0.017557,-0.131395,0.991175,0.204500,0.970843,0.125077,-0.978709,0.200500,0.043915,,,0.000000,,,,0.00,,,
